t_s,timestamp,distance_m,speed_m_s,pace_s_per_km,hr,elev_m,cadence_spm,power_w,gap_speed_m_s,temp_c
1098.0,2026-09-21T18:48:05+00:00,2531.389892578125,2.2269999980926514,449.0345760469086,113.0,124.4000015258789,77.0,,,27.0
1104.0,2026-09-21T18:48:11+00:00,2545.31005859375,2.319999933242798,431.03449516149004,110.0,124.4000015258789,78.0,,,27.0
1107.0,2026-09-21T18:48:14+00:00,2552.489990234375,2.3929998874664307,417.8855190247175,114.0,124.4000015258789,78.0,,,27.0
1108.0,2026-09-21T18:48:15+00:00,2554.8798828125,2.390000104904175,418.4100234757497,117.0,124.4000015258789,78.0,,,27.0
1109.0,2026-09-21T18:48:16+00:00,2557.25,2.369999885559082,421.9409486444344,117.0,124.4000015258789,78.0,,,27.0
1112.0,2026-09-21T18:48:19+00:00,2564.199951171875,2.316999912261963,431.592592950836,120.0,124.4000015258789,77.0,,,27.0
1118.0,2026-09-21T18:48:25+00:00,2577.89990234375,2.2829999923706055,438.0201503906389,121.0,124.4000015258789,78.0,,,27.0
1124.0,2026-09-21T18:48:31+00:00,2591.68994140625,2.2980000972747803,435.1609911530941,121.0,124.5999984741211,77.0,,,27.0
1130.0,2026-09-21T18:48:37+00:00,2605.260009765625,2.26200008392334,442.086632581173,118.0,124.4000015258789,77.0,,,27.0
1133.0,2026-09-21T18:48:40+00:00,2611.3798828125,2.0399999618530273,490.19608759779254,115.0,124.5999984741211,77.0,,,27.0
1139.0,2026-09-21T18:48:46+00:00,2623.169921875,1.965000033378601,508.9058437727404,113.0,124.5999984741211,76.0,,,27.0
1145.0,2026-09-21T18:48:52+00:00,2634.969970703125,1.9670000076293945,508.3884067723967,114.0,124.80000305175781,76.0,,,27.0
1151.0,2026-09-21T18:48:58+00:00,2647.3701171875,2.066999912261963,483.7929571587056,117.0,124.5999984741211,77.0,,,27.0
1157.0,2026-09-21T18:49:04+00:00,2660.909912109375,2.256999969482422,443.06602282733803,117.0,124.5999984741211,77.0,,,27.0
1163.0,2026-09-21T18:49:10+00:00,2675.06005859375,2.3580000400543213,424.0882031439503,116.0,124.5999984741211,78.0,,,27.0
1169.0,2026-09-21T18:49:16+00:00,2689.719970703125,2.443000078201294,409.3327744533964,118.0,124.5999984741211,78.0,,,27.0
1175.0,2026-09-21T18:49:22+00:00,2703.840087890625,2.3529999256134033,424.98938870102603,119.0,124.4000015258789,76.0,,,27.0
1181.0,2026-09-21T18:49:28+00:00,2717.469970703125,2.2720000743865967,440.1408306599567,119.0,124.4000015258789,77.0,,,27.0
1187.0,2026-09-21T18:49:34+00:00,2732.0,2.421999931335449,412.8819274774369,119.0,124.80000305175781,78.0,,,27.0
1193.0,2026-09-21T18:49:40+00:00,2746.169921875,2.361999988555908,423.37002745346547,117.0,125.0,77.0,,,27.0
1199.0,2026-09-21T18:49:46+00:00,2759.050048828125,2.1470000743865967,465.76616923765243,116.0,125.0,77.0,,,27.0
1200.0,2026-09-21T18:49:47+00:00,2761.10009765625,2.049999952316284,487.80488939529255,116.0,125.0,77.0,,,27.0
1206.0,2026-09-21T18:49:53+00:00,2772.60009765625,1.9170000553131104,521.648393920712,115.0,124.80000305175781,67.0,,,27.0
1211.0,2026-09-21T18:49:58+00:00,2780.719970703125,1.6239999532699585,615.7635645164144,119.0,124.80000305175781,69.0,,,27.0
1213.0,2026-09-21T18:50:00+00:00,2785.60009765625,2.440000057220459,409.83605596270195,123.0,125.19999694824219,75.0,,,27.0
1216.0,2026-09-21T18:50:03+00:00,2793.56005859375,2.6530001163482666,376.9317588181844,126.0,125.4000015258789,78.0,,,27.0
1218.0,2026-09-21T18:50:05+00:00,2799.0400390625,2.740000009536743,364.9635023793565,129.0,125.4000015258789,79.0,,,27.0
1221.0,2026-09-21T18:50:08+00:00,2807.510009765625,2.822999954223633,354.23309111424163,132.0,125.4000015258789,80.0,,,27.0
1223.0,2026-09-21T18:50:10+00:00,2813.179931640625,2.8350000381469727,352.73368132073296,135.0,125.0,81.0,,,27.0
1226.0,2026-09-21T18:50:13+00:00,2821.68994140625,2.8369998931884766,352.4850326575479,138.0,124.80000305175781,82.0,,,27.0
1230.0,2026-09-21T18:50:17+00:00,2833.050048828125,2.8399999141693115,352.1126866979135,141.0,125.19999694824219,82.0,,,27.0
1236.0,2026-09-21T18:50:23+00:00,2850.280029296875,2.871999979019165,348.1894175854125,143.0,124.80000305175781,82.0,,,27.0
1242.0,2026-09-21T18:50:29+00:00,2867.93994140625,2.943000078201294,339.7893215861486,145.0,125.0,83.0,,,27.0
1246.0,2026-09-21T18:50:33+00:00,2879.800048828125,2.9649999141693115,337.2681379251118,148.0,124.5999984741211,83.0,,,27.0
1252.0,2026-09-21T18:50:39+00:00,2897.25,2.9079999923706055,343.87895551017476,150.0,124.5999984741211,83.0,,,27.0
1258.0,2026-09-21T18:50:45+00:00,2914.760009765625,2.9179999828338623,342.70048179672506,150.0,124.80000305175781,83.0,,,27.0
1264.0,2026-09-21T18:50:51+00:00,2931.93994140625,2.86299991607666,349.28397810446313,151.0,125.0,83.0,,,27.0
1270.0,2026-09-21T18:50:57+00:00,2948.949951171875,2.8350000381469727,352.73368132073296,152.0,125.19999694824219,83.0,,,27.0
1276.0,2026-09-21T18:51:03+00:00,2966.030029296875,2.8469998836517334,351.2469409437909,154.0,125.0,83.0,,,27.0
1282.0,2026-09-21T18:51:09+00:00,2982.919921875,2.815000057220459,355.23977963517467,155.0,125.0,83.0,,,27.0
1286.0,2026-09-21T18:51:13+00:00,2994.22998046875,2.828000068664551,353.6067806646921,156.0,124.80000305175781,83.0,,,27.0
1292.0,2026-09-21T18:51:19+00:00,3011.419921875,2.865000009536743,349.04013845420377,157.0,125.0,84.0,,,27.0
1298.0,2026-09-21T18:51:25+00:00,3028.340087890625,2.819999933242798,354.6099374726125,157.0,125.0,82.0,,,27.0
1304.0,2026-09-21T18:51:31+00:00,3045.090087890625,2.7920000553131104,358.1661820160152,157.0,124.5999984741211,82.0,,,27.0
