t_s,timestamp,distance_m,speed_m_s,pace_s_per_km,hr,elev_m,cadence_spm,power_w,gap_speed_m_s,temp_c
463.0,2026-09-25T14:47:37+00:00,38.61000061035156,,,131.0,-53.79999923706055,,,,30.0
469.0,2026-09-25T14:47:43+00:00,38.61000061035156,,,132.0,-53.599998474121094,,,,30.0
474.0,2026-09-25T14:47:48+00:00,39.560001373291016,0.0560000017285347,,133.0,-53.599998474121094,0.0,,,30.0
480.0,2026-09-25T14:47:54+00:00,41.68000030517578,0.3529999852180481,2832.8613084283843,134.0,-53.599998474121094,0.0,,,30.0
486.0,2026-09-25T14:48:00+00:00,44.56999969482422,0.4819999933242798,2074.6888254150253,134.0,-53.79999923706055,13.0,,,30.0
492.0,2026-09-25T14:48:06+00:00,44.56999969482422,,,134.0,-53.79999923706055,0.0,,,30.0
498.0,2026-09-25T14:48:12+00:00,44.56999969482422,,,133.0,-53.400001525878906,,,,30.0
504.0,2026-09-25T14:48:18+00:00,44.56999969482422,,,133.0,-53.599998474121094,,,,30.0
510.0,2026-09-25T14:48:24+00:00,50.65999984741211,0.2540000081062317,,134.0,-53.79999923706055,0.0,,,30.0
516.0,2026-09-25T14:48:30+00:00,50.65999984741211,,,135.0,-53.79999923706055,,,,30.0
522.0,2026-09-25T14:48:36+00:00,50.65999984741211,,,135.0,-54.0,,,,30.0
528.0,2026-09-25T14:48:42+00:00,50.65999984741211,,,136.0,-53.79999923706055,,,,30.0
534.0,2026-09-25T14:48:48+00:00,55.61000061035156,0.20600000023841858,,138.0,-53.599998474121094,46.0,,,30.0
540.0,2026-09-25T14:48:54+00:00,56.849998474121094,0.2070000022649765,,137.0,-54.20000076293945,47.0,,,30.0
546.0,2026-09-25T14:49:00+00:00,57.72999954223633,0.1469999998807907,,137.0,-53.79999923706055,14.0,,,29.0
552.0,2026-09-25T14:49:06+00:00,61.40999984741211,0.6129999756813049,1631.321435027094,137.0,-53.599998474121094,38.0,,,29.0
558.0,2026-09-25T14:49:12+00:00,63.099998474121094,0.28200000524520874,,136.0,-53.79999923706055,13.0,,,29.0
564.0,2026-09-25T14:49:18+00:00,65.19999694824219,0.3499999940395355,2857.1429057997107,135.0,-53.79999923706055,0.0,,,29.0
570.0,2026-09-25T14:49:24+00:00,65.19999694824219,,,135.0,-54.0,,,,29.0
576.0,2026-09-25T14:49:30+00:00,69.45999908447266,0.35499998927116394,2816.901493583308,134.0,-53.79999923706055,44.0,,,29.0
582.0,2026-09-25T14:49:36+00:00,72.7300033569336,0.5450000166893005,1834.862329132901,135.0,-53.599998474121094,0.0,,,29.0
588.0,2026-09-25T14:49:42+00:00,77.83000183105469,0.8500000238418579,1176.4705552361838,137.0,-53.599998474121094,32.0,,,29.0
594.0,2026-09-25T14:49:48+00:00,87.83000183105469,1.6670000553131104,599.8800040904446,138.0,-53.599998474121094,74.0,,,29.0
600.0,2026-09-25T14:49:54+00:00,99.87999725341797,2.007999897003174,498.00799367193366,138.0,-53.599998474121094,77.0,,,29.0
606.0,2026-09-25T14:50:00+00:00,101.94999694824219,0.3449999988079071,2898.5507346531645,140.0,-53.20000076293945,77.0,,,29.0
612.0,2026-09-25T14:50:06+00:00,115.04000091552734,2.181999921798706,458.2951584964594,140.0,-53.599998474121094,43.0,,,29.0
618.0,2026-09-25T14:50:12+00:00,119.1500015258789,0.6850000023841858,1459.854009517426,140.0,-53.599998474121094,23.0,,,29.0
624.0,2026-09-25T14:50:18+00:00,121.0,0.30799999833106995,3246.7532643461172,140.0,-53.599998474121094,24.0,,,29.0
630.0,2026-09-25T14:50:24+00:00,127.3499984741211,1.0579999685287476,945.1796122362819,140.0,-53.599998474121094,44.0,,,29.0
636.0,2026-09-25T14:50:30+00:00,129.3800048828125,0.33799999952316284,2958.5798858306534,141.0,-53.599998474121094,45.0,,,29.0
642.0,2026-09-25T14:50:36+00:00,137.2100067138672,1.3049999475479126,766.2835557035801,141.0,-53.599998474121094,79.0,,,29.0
648.0,2026-09-25T14:50:42+00:00,142.75999450683594,0.925000011920929,1081.0810671486588,141.0,-53.79999923706055,42.0,,,29.0
654.0,2026-09-25T14:50:48+00:00,147.8699951171875,0.8519999980926514,1173.708922815343,142.0,-53.599998474121094,49.0,,,29.0
660.0,2026-09-25T14:50:54+00:00,157.57000732421875,1.6169999837875366,618.4291960582935,142.0,-53.79999923706055,67.0,,,29.0
666.0,2026-09-25T14:51:00+00:00,169.27999877929688,1.9520000219345093,512.2950762105835,143.0,-53.79999923706055,75.0,,,29.0
672.0,2026-09-25T14:51:06+00:00,171.3300018310547,0.34200000762939453,2923.9765429585655,142.0,-53.599998474121094,0.0,,,29.0
678.0,2026-09-25T14:51:12+00:00,171.3300018310547,,,141.0,-53.79999923706055,,,,29.0
684.0,2026-09-25T14:51:18+00:00,171.66000366210938,0.02800000086426735,,141.0,-53.79999923706055,6.0,,,29.0
690.0,2026-09-25T14:51:24+00:00,177.36000061035156,0.949999988079071,1052.631592156154,141.0,-54.0,20.0,,,29.0
696.0,2026-09-25T14:51:30+00:00,189.0500030517578,1.9479999542236328,513.347034650494,141.0,-54.0,15.0,,,29.0
